municipality;center;radius
Anderlecht;[50.82540080231105, 4.287816328800001];4237.3976500974795
Auderghem;[50.81432383812954, 4.43333098021583];4177.912347887851
Berchem-Sainte-Agathe;[50.86712175497842, 4.290390688528135];1659.1930407269208
Bruxelles;[50.86505989202978, 4.3780155848034];7800.956821447442
Etterbeek;[50.83595715214283, 4.401035942857144];1697.5601598709375
Evere;[50.869393665789474, 4.407723057894738];1976.4691822016805
Forest (Bruxelles-Capitale);[50.81506042964595, 4.330354253097348];2544.8494902480206
Ganshoren;[50.87416212688682, 4.305363362264151];1726.5071266888078
Ixelles;[50.81964541702506, 4.368608448207885];2821.328857836672
Jette;[50.88269471604098, 4.321394155290101];2163.3495712526656
Koekelberg;[50.86298500653594, 4.324218714379088];1232.2042872580478
Molenbeek-Saint-Jean;[50.853398117635656, 4.310832246899227];2922.3007871276163
Schaerbeek;[50.86145341142856, 4.387375438095236];2196.39328040978
Saint-Gilles;[50.828164853405006, 4.346242927240148];1429.17384941675
Saint-Josse-ten-Noode;[50.851944721212135, 4.372675754545455];1417.4746970647222
Uccle;[50.79160309265804, 4.3368817382899625];5754.9372165558125
Watermael-Boitsfort;[50.797964699999994, 4.42241061968504];3481.467331640119
Woluwe-Saint-Lambert;[50.84502009527025, 4.438660121283784];2719.5920687842054
Woluwe-Saint-Pierre;[50.83356373107048, 4.4369946595300265];3150.8227365515777
